Time resolution is 1 ps
                   0A = 1, clk = 0, clr = 1, Q = xxxx
                   0A = 1, clk = 0, clr = 1, Q = 0000
                  10A = 1, clk = 1, clr = 1, Q = 0000
                  20A = 1, clk = 0, clr = 1, Q = 0000
                  30A = 1, clk = 1, clr = 1, Q = 0000
                  40A = 1, clk = 0, clr = 1, Q = 0000
                  50A = 1, clk = 1, clr = 1, Q = 0000
                  60A = 1, clk = 0, clr = 1, Q = 0000
                  70A = 1, clk = 1, clr = 1, Q = 0000
                  80A = 1, clk = 0, clr = 1, Q = 0000
                  90A = 1, clk = 1, clr = 1, Q = 0000
                 100A = 1, clk = 0, clr = 1, Q = 0000
                 110A = 1, clk = 1, clr = 1, Q = 0000
                 110A = 1, clk = 1, clr = 1, Q = 0001
                 110A = 1, clk = 1, clr = 1, Q = 0011
                 110A = 1, clk = 1, clr = 1, Q = 0111
                 110A = 1, clk = 1, clr = 1, Q = 1111
                 120A = 1, clk = 0, clr = 1, Q = 1111
                 130A = 1, clk = 1, clr = 1, Q = 1111
                 140A = 1, clk = 0, clr = 1, Q = 1111
                 150A = 1, clk = 1, clr = 1, Q = 1111
                 160A = 1, clk = 0, clr = 1, Q = 1111
                 170A = 1, clk = 1, clr = 1, Q = 1111
                 180A = 1, clk = 0, clr = 1, Q = 1111
                 190A = 1, clk = 1, clr = 1, Q = 1111
                 200A = 1, clk = 0, clr = 1, Q = 1111
                 210A = 1, clk = 1, clr = 1, Q = 1111
                 220A = 1, clk = 0, clr = 1, Q = 1111
                 230A = 1, clk = 1, clr = 1, Q = 1111
                 240A = 1, clk = 0, clr = 1, Q = 1111
                 250A = 1, clk = 1, clr = 1, Q = 1111
                 260A = 1, clk = 0, clr = 1, Q = 1111
                 270A = 1, clk = 1, clr = 1, Q = 1111
                 280A = 1, clk = 0, clr = 1, Q = 1111
                 290A = 1, clk = 1, clr = 1, Q = 1111
                 300A = 1, clk = 0, clr = 1, Q = 1111
                 310A = 1, clk = 1, clr = 1, Q = 1111
                 320A = 1, clk = 0, clr = 1, Q = 1111
                 330A = 1, clk = 1, clr = 1, Q = 1111
                 340A = 1, clk = 0, clr = 1, Q = 1111
                 350A = 1, clk = 1, clr = 1, Q = 1111
                 360A = 1, clk = 0, clr = 1, Q = 1111
                 370A = 1, clk = 1, clr = 1, Q = 1111
                 380A = 1, clk = 0, clr = 1, Q = 1111
