Time resolution is 1 ps
                   0A = 1, clk = 0, clr = 1, Q = xxxx
                   3A = 1, clk = 0, clr = 1, Q = x000
                   3A = 1, clk = 0, clr = 1, Q = 0000
                  50A = 1, clk = 1, clr = 1, Q = 0000
                 100A = 1, clk = 0, clr = 1, Q = 0000
                 150A = 1, clk = 1, clr = 1, Q = 0000
                 155A = 1, clk = 1, clr = 1, Q = 0001
                 156A = 1, clk = 1, clr = 1, Q = 0011
                 157A = 1, clk = 1, clr = 1, Q = 0111
                 158A = 1, clk = 1, clr = 1, Q = 1111
                 200A = 1, clk = 0, clr = 1, Q = 1111
                 250A = 1, clk = 1, clr = 1, Q = 1111
                 300A = 1, clk = 0, clr = 1, Q = 1111
                 350A = 1, clk = 1, clr = 1, Q = 1111
                 400A = 1, clk = 0, clr = 1, Q = 1111
                 450A = 1, clk = 1, clr = 1, Q = 1111
                 500A = 1, clk = 0, clr = 1, Q = 1111
                 550A = 1, clk = 1, clr = 1, Q = 1111
                 600A = 1, clk = 0, clr = 1, Q = 1111
                 650A = 1, clk = 1, clr = 1, Q = 1111
                 700A = 1, clk = 0, clr = 1, Q = 1111
                 750A = 1, clk = 1, clr = 1, Q = 1111
                 800A = 1, clk = 0, clr = 1, Q = 1111
                 850A = 1, clk = 1, clr = 1, Q = 1111
                 900A = 1, clk = 0, clr = 1, Q = 1111
                 950A = 1, clk = 1, clr = 1, Q = 1111
                1000A = 1, clk = 0, clr = 1, Q = 1111
