Time resolution is 1 ps
                   0E = 0, D = 0, Q = x
                  10E = 1, D = 0, Q = 0
                  20E = 0, D = 1, Q = 0
                  30E = 1, D = 1, Q = 1
                  40E = 0, D = 0, Q = 1
                  50E = 1, D = 0, Q = 0
                  60E = 0, D = 1, Q = 0
                  70E = 1, D = 1, Q = 1
                  80E = 0, D = 0, Q = 1
                  90E = 1, D = 0, Q = 0
                 100E = 0, D = 1, Q = 0
                 110E = 1, D = 1, Q = 1
                 120E = 0, D = 0, Q = 1
                 130E = 1, D = 0, Q = 0
                 140E = 0, D = 1, Q = 0
                 150E = 1, D = 1, Q = 1
                 160E = 0, D = 0, Q = 1
                 170E = 1, D = 0, Q = 0
                 180E = 0, D = 1, Q = 0
                 190E = 1, D = 1, Q = 1
                 200E = 0, D = 0, Q = 1
                 210E = 1, D = 0, Q = 0
                 220E = 0, D = 1, Q = 0
                 230E = 1, D = 1, Q = 1
                 240E = 0, D = 0, Q = 1
                 250E = 1, D = 0, Q = 0
                 260E = 0, D = 1, Q = 0
                 270E = 1, D = 1, Q = 1
                 280E = 0, D = 0, Q = 1
                 290E = 1, D = 0, Q = 0
                 300E = 0, D = 1, Q = 0
                 310E = 1, D = 1, Q = 1
                 320E = 0, D = 0, Q = 1
                 330E = 1, D = 0, Q = 0
                 340E = 0, D = 1, Q = 0
                 350E = 1, D = 1, Q = 1
                 360E = 0, D = 0, Q = 1
                 370E = 1, D = 0, Q = 0
                 380E = 0, D = 1, Q = 0
                 390E = 1, D = 1, Q = 1
                 400E = 0, D = 0, Q = 1
                 410E = 1, D = 0, Q = 0
                 420E = 0, D = 1, Q = 0
                 430E = 1, D = 1, Q = 1
                 440E = 0, D = 0, Q = 1
                 450E = 1, D = 0, Q = 0
                 460E = 0, D = 1, Q = 0
                 470E = 1, D = 1, Q = 1
                 480E = 0, D = 0, Q = 1
                 490E = 1, D = 0, Q = 0
                 500E = 0, D = 1, Q = 0
                 510E = 1, D = 1, Q = 1
                 520E = 0, D = 0, Q = 1
                 530E = 1, D = 0, Q = 0
                 540E = 0, D = 1, Q = 0
                 550E = 1, D = 1, Q = 1
                 560E = 0, D = 0, Q = 1
                 570E = 1, D = 0, Q = 0
                 580E = 0, D = 1, Q = 0
                 590E = 1, D = 1, Q = 1
                 600E = 0, D = 0, Q = 1
                 610E = 1, D = 0, Q = 0
                 620E = 0, D = 1, Q = 0
                 630E = 1, D = 1, Q = 1
                 640E = 0, D = 0, Q = 1
                 650E = 1, D = 0, Q = 0
                 660E = 0, D = 1, Q = 0
                 670E = 1, D = 1, Q = 1
                 680E = 0, D = 0, Q = 1
                 690E = 1, D = 0, Q = 0
                 700E = 0, D = 1, Q = 0
                 710E = 1, D = 1, Q = 1
                 720E = 0, D = 0, Q = 1
                 730E = 1, D = 0, Q = 0
                 740E = 0, D = 1, Q = 0
                 750E = 1, D = 1, Q = 1
                 760E = 0, D = 0, Q = 1
                 770E = 1, D = 0, Q = 0
                 780E = 0, D = 1, Q = 0
                 790E = 1, D = 1, Q = 1
                 800E = 0, D = 0, Q = 1
                 810E = 1, D = 0, Q = 0
                 820E = 0, D = 1, Q = 0
                 830E = 1, D = 1, Q = 1
                 840E = 0, D = 0, Q = 1
                 850E = 1, D = 0, Q = 0
                 860E = 0, D = 1, Q = 0
                 870E = 1, D = 1, Q = 1
                 880E = 0, D = 0, Q = 1
                 890E = 1, D = 0, Q = 0
                 900E = 0, D = 1, Q = 0
                 910E = 1, D = 1, Q = 1
                 920E = 0, D = 0, Q = 1
                 930E = 1, D = 0, Q = 0
                 940E = 0, D = 1, Q = 0
                 950E = 1, D = 1, Q = 1
                 960E = 0, D = 0, Q = 1
                 970E = 1, D = 0, Q = 0
                 980E = 0, D = 1, Q = 0
                 990E = 1, D = 1, Q = 1
                1000E = 0, D = 0, Q = 1
