Time resolution is 1 ps
                   0A = 1, clk = 0, clr = 1, Q = x
                   5A = 1, clk = 1, clr = 1, Q = x
                  10A = 1, clk = 0, clr = 1, Q = x
                  15A = 1, clk = 1, clr = 1, Q = x
                  20A = 0, clk = 0, clr = 1, Q = x
                  25A = 0, clk = 1, clr = 1, Q = x
                  30A = 1, clk = 0, clr = 1, Q = x
                  35A = 1, clk = 1, clr = 1, Q = 1
                  40A = 0, clk = 0, clr = 1, Q = 1
                  45A = 0, clk = 1, clr = 1, Q = 1
                  50A = 1, clk = 0, clr = 1, Q = 1
                  55A = 1, clk = 1, clr = 1, Q = 0
                  60A = 1, clk = 0, clr = 1, Q = 0
                  65A = 1, clk = 1, clr = 1, Q = 1
                  70A = 1, clk = 0, clr = 1, Q = 1
                  75A = 1, clk = 1, clr = 1, Q = 0
                  80A = 1, clk = 0, clr = 1, Q = 0
                  85A = 1, clk = 1, clr = 1, Q = 1
                  90A = 1, clk = 0, clr = 1, Q = 1
                  95A = 1, clk = 1, clr = 1, Q = 1
                 100A = 1, clk = 0, clr = 1, Q = 1
                 105A = 1, clk = 1, clr = 1, Q = 1
                 110A = 1, clk = 0, clr = 1, Q = 1
                 115A = 1, clk = 1, clr = 1, Q = 1
                 120A = 1, clk = 0, clr = 0, Q = 1
                 125A = 1, clk = 1, clr = 0, Q = 0
                 130A = 1, clk = 0, clr = 0, Q = 0
                 135A = 1, clk = 1, clr = 0, Q = 0
                 140A = 1, clk = 0, clr = 1, Q = 0
                 145A = 1, clk = 1, clr = 1, Q = 0
                 150A = 0, clk = 0, clr = 1, Q = 0
                 155A = 0, clk = 1, clr = 1, Q = 0
                 160A = 1, clk = 0, clr = 1, Q = 0
                 165A = 1, clk = 1, clr = 1, Q = 0
                 170A = 0, clk = 0, clr = 1, Q = 0
                 175A = 0, clk = 1, clr = 1, Q = 1
                 180A = 0, clk = 0, clr = 1, Q = 1
                 185A = 0, clk = 1, clr = 1, Q = 0
                 190A = 0, clk = 0, clr = 1, Q = 0
                 195A = 0, clk = 1, clr = 1, Q = 1
                 200A = 0, clk = 0, clr = 1, Q = 1
                 205A = 0, clk = 1, clr = 1, Q = 0
                 210A = 0, clk = 0, clr = 1, Q = 0
                 215A = 0, clk = 1, clr = 1, Q = 0
                 220A = 0, clk = 0, clr = 1, Q = 0
                 225A = 0, clk = 1, clr = 1, Q = 0
                 230A = 0, clk = 0, clr = 1, Q = 0
                 235A = 0, clk = 1, clr = 1, Q = 0
                 240A = 0, clk = 0, clr = 1, Q = 0
                 245A = 0, clk = 1, clr = 1, Q = 0
                 250A = 0, clk = 0, clr = 1, Q = 0
                 255A = 0, clk = 1, clr = 1, Q = 0
                 260A = 0, clk = 0, clr = 1, Q = 0
                 265A = 0, clk = 1, clr = 1, Q = 0
                 270A = 0, clk = 0, clr = 1, Q = 0
                 275A = 0, clk = 1, clr = 1, Q = 0
                 280A = 0, clk = 0, clr = 1, Q = 0
                 285A = 0, clk = 1, clr = 1, Q = 0
                 290A = 0, clk = 0, clr = 1, Q = 0
                 295A = 0, clk = 1, clr = 1, Q = 0
                 300A = 0, clk = 0, clr = 1, Q = 0
                 305A = 0, clk = 1, clr = 1, Q = 0
                 310A = 0, clk = 0, clr = 1, Q = 0
                 315A = 0, clk = 1, clr = 1, Q = 0
                 320A = 0, clk = 0, clr = 1, Q = 0
                 325A = 0, clk = 1, clr = 1, Q = 0
                 330A = 0, clk = 0, clr = 1, Q = 0
                 335A = 0, clk = 1, clr = 1, Q = 0
                 340A = 0, clk = 0, clr = 1, Q = 0
                 345A = 0, clk = 1, clr = 1, Q = 0
                 350A = 0, clk = 0, clr = 1, Q = 0
                 355A = 0, clk = 1, clr = 1, Q = 0
                 360A = 0, clk = 0, clr = 1, Q = 0
                 365A = 0, clk = 1, clr = 1, Q = 0
                 370A = 0, clk = 0, clr = 1, Q = 0
                 375A = 0, clk = 1, clr = 1, Q = 0
                 380A = 0, clk = 0, clr = 1, Q = 0
                 385A = 0, clk = 1, clr = 1, Q = 0
                 390A = 0, clk = 0, clr = 1, Q = 0
                 395A = 0, clk = 1, clr = 1, Q = 0
                 400A = 0, clk = 0, clr = 1, Q = 0
                 405A = 0, clk = 1, clr = 1, Q = 0
                 410A = 0, clk = 0, clr = 1, Q = 0
                 415A = 0, clk = 1, clr = 1, Q = 0
                 420A = 0, clk = 0, clr = 1, Q = 0
                 425A = 0, clk = 1, clr = 1, Q = 0
                 430A = 0, clk = 0, clr = 1, Q = 0
                 435A = 0, clk = 1, clr = 1, Q = 0
                 440A = 0, clk = 0, clr = 1, Q = 0
                 445A = 0, clk = 1, clr = 1, Q = 0
                 450A = 0, clk = 0, clr = 1, Q = 0
                 455A = 0, clk = 1, clr = 1, Q = 0
                 460A = 0, clk = 0, clr = 1, Q = 0
                 465A = 0, clk = 1, clr = 1, Q = 0
                 470A = 0, clk = 0, clr = 1, Q = 0
                 475A = 0, clk = 1, clr = 1, Q = 0
                 480A = 0, clk = 0, clr = 1, Q = 0
                 485A = 0, clk = 1, clr = 1, Q = 0
                 490A = 0, clk = 0, clr = 1, Q = 0
                 495A = 0, clk = 1, clr = 1, Q = 0
                 500A = 0, clk = 0, clr = 1, Q = 0
                 505A = 0, clk = 1, clr = 1, Q = 0
                 510A = 0, clk = 0, clr = 1, Q = 0
                 515A = 0, clk = 1, clr = 1, Q = 0
                 520A = 0, clk = 0, clr = 1, Q = 0
                 525A = 0, clk = 1, clr = 1, Q = 0
